ano_idx,exp_subspace
1268,"[3, 4, 5, 8]"
1269,"[0, 3, 5, 6, 7]"
1270,"[2, 3, 4, 5, 6, 7, 9]"
1271,"[3, 4, 5, 6, 7, 8, 9]"
1272,"[1, 2, 5, 7, 8, 9]"
1273,"[0, 5, 6, 8]"
1274,"[2, 3, 4, 5, 7]"
1275,"[2, 3, 4, 6, 7]"
1276,"[7, 8, 9]"
1277,"[4, 7, 8, 9]"
1278,"[0, 3, 5, 8, 9]"
1279,"[3, 4]"
1280,"[0, 2, 4]"
1281,"[3, 5, 7]"
1282,"[0, 1, 2, 4, 5, 8, 9]"
1283,"[0, 3, 5, 6, 7]"
1284,"[1, 2, 5, 6]"
1285,"[2, 3, 4, 6, 8]"
1286,"[3, 4, 5, 6, 7, 8, 9]"
1287,"[4, 5, 6, 7, 8]"
1288,"[0, 3, 4, 5, 7, 8, 9]"
1289,"[2, 4, 9]"
1290,"[0, 1, 2, 6, 7]"
1291,"[0, 3, 6, 7, 9]"
1292,"[4, 5, 8, 9]"
1293,"[0, 2, 6, 9]"
1294,"[6, 8, 9]"
1295,"[5, 6, 7, 9]"
1296,"[3, 6]"
1297,"[2, 3, 8, 9]"
1298,"[3, 5, 7]"
1299,"[1, 2, 5, 7, 9]"
1300,"[0, 3, 6]"
1301,"[6, 7]"
1302,"[0, 1, 2, 3, 5, 7, 8]"
1303,"[6, 9]"
1304,"[5, 6, 9]"
1305,"[2, 4, 5, 9]"
1306,"[0, 1, 6, 9]"
1307,"[4, 5, 6, 7, 9]"
1308,"[4, 5, 6, 7]"
1309,"[4, 5, 6, 7]"
1310,"[2, 3, 4, 5, 8]"
1311,"[0, 1, 2, 4, 6, 7, 9]"
1312,"[0, 1, 2, 4, 5, 8, 9]"
1313,"[4, 5, 6, 8]"
1314,"[1, 3, 5, 9]"
1315,"[2, 4, 5, 6, 7, 8]"
1316,"[0, 1, 4, 5, 7, 9]"
1317,"[0, 2, 4, 5, 7, 9]"
1318,"[0, 2, 3, 8]"
1319,"[2, 4, 5, 6]"
1320,"[1, 3, 5, 7, 9]"
1321,"[3, 4, 5, 6, 7, 8, 9]"
1322,"[0, 2, 3, 5, 7]"
1323,"[2, 3, 5, 6, 7, 8]"
1324,"[0, 2, 3, 4, 5, 7, 9]"
1325,"[2, 3, 4, 5, 7]"
1326,"[1, 2, 3, 5]"
1327,"[3, 4, 6, 7]"
1328,"[0, 3, 5, 8, 9]"
1329,"[2, 3, 5, 7, 8]"
1330,"[3, 4, 5, 8]"
1331,"[2, 4, 5, 7, 9]"
1332,"[1, 2, 3, 5]"
1333,"[0, 2, 3, 8]"
1334,"[0, 4, 5, 8, 9]"
1335,"[1, 3, 5]"
1336,"[1, 3, 4, 6, 7, 9]"
1337,"[1, 2, 3, 5]"
1338,"[2, 4, 5, 8]"
1339,"[2, 3, 5, 6, 7, 8]"
1340,"[1, 3, 5, 7, 9]"
1341,"[2, 5, 7, 9]"
1342,"[1, 4, 5, 6, 7, 8, 9]"
1343,"[1, 3, 5, 9]"
1344,"[2, 4, 6, 8, 9]"
1345,"[1, 2, 5, 7, 8, 9]"
1346,"[4, 5, 6, 7, 9]"
1347,"[0, 3, 4, 5]"
1348,"[1, 2, 4, 5, 6, 9]"
1349,"[1, 2, 3, 4, 9]"
1350,"[0, 3, 4, 5]"
1351,"[0, 2, 3, 4, 6]"
1352,"[3, 6, 7, 8]"
1353,"[0, 3, 4, 5, 7, 8, 9]"
1354,"[0, 3, 5, 8, 9]"
1355,"[0, 1, 3, 4]"
1356,"[0, 2, 7, 9]"
1357,"[0, 1, 2, 3, 4, 7, 9]"
1358,"[0, 2, 4, 6, 7]"
1359,"[1, 4, 7, 9]"
1360,"[2, 5]"
1361,"[0, 2, 3, 4, 5, 6, 9]"
1362,"[0, 3, 6, 9]"
1363,"[2, 3, 4]"
1364,"[1, 2, 5, 7, 8, 9]"
1365,"[2, 3, 5, 6, 7]"
1366,"[1, 3, 4, 5, 9]"
1367,"[2, 4, 9]"
1368,"[3, 4, 6, 7, 8]"
1369,"[1, 5, 7, 8, 9]"
1370,"[2, 3, 4, 6, 9]"
1371,"[1, 4, 7, 9]"
1372,"[0, 1, 2, 4, 7]"
1373,"[1, 4, 6, 8]"
1374,"[2, 3, 5, 6, 7, 8]"
1375,"[4, 7, 8, 9]"
1376,"[2, 4, 9]"
1377,"[2, 4, 9]"
1378,"[0, 3]"
1379,"[0, 4]"
1380,"[3, 5, 6, 7]"
1381,"[7, 9]"
1382,"[0, 4]"
1383,"[0, 3, 6]"
1384,"[0, 3, 6, 7, 9]"
1385,"[1, 4, 7, 9]"
1386,"[0, 3, 4, 5]"
1387,"[0, 3, 6, 7, 9]"
1388,"[2, 4, 5]"
1389,"[1, 4, 9]"
1390,"[2, 3, 4, 5, 8]"
1391,"[0, 3, 4, 8, 9]"
1392,"[2, 3, 4, 5, 7]"
1393,"[3, 5, 6, 7]"
1394,"[1, 3, 4, 7, 9]"
1395,"[5, 8]"
1396,"[0, 3, 4]"
1397,"[0, 3, 4, 5]"
1398,"[2, 3, 4, 5, 6, 8]"
1399,"[4, 5, 8]"
1400,"[1, 2, 4, 5, 8]"
1401,"[1, 4, 6, 8]"
1402,"[2, 3, 4, 7, 9]"
1403,"[2, 4, 5, 7, 9]"
1404,"[0, 2, 6, 7, 9]"
1405,"[4, 5, 6, 7]"
1406,"[0, 4, 5, 9]"
1407,"[2, 4, 5, 9]"
1408,"[0, 1, 4, 6, 8]"
1409,"[1, 2, 4, 7]"
1410,"[3, 6, 7, 8]"
1411,"[0, 2, 4, 7]"
1412,"[1, 6, 9]"
1413,"[1, 2, 5, 7, 8, 9]"
1414,"[1, 2, 3, 4, 5, 6, 7, 8]"
1415,"[2, 3, 4, 5, 8, 9]"
1416,"[1, 2, 4, 6, 7, 8, 9]"
1417,"[0, 2, 4]"
1418,"[0, 4, 5, 6, 7, 9]"
1419,"[0, 5, 6, 8]"
1420,"[1, 2, 3, 7]"
1421,"[0, 2, 4, 7]"
1422,"[2, 4, 5, 7, 9]"
1423,"[4, 5, 6, 7]"
1424,"[0, 3, 5, 8, 9]"
1425,"[0, 3, 6, 7, 9]"
1426,"[0, 3, 5, 8, 9]"
1427,"[0, 4, 6]"
1428,"[1, 2, 3, 4, 9]"
1429,"[2, 4, 6, 8, 9]"
1430,"[2, 3, 5, 7]"
1431,"[2, 4, 6, 8, 9]"
1432,"[2, 5, 6, 7, 8]"
1433,"[3, 4, 5, 8]"
