ano_idx,exp_subspace
1093,[0]
1094,[0]
1095,[0]
1096,[0]
1097,[0]
1098,[0]
1099,[0]
1100,[0]
1101,[0]
1102,[0]
1103,[0]
1104,[0]
1105,[0]
1106,[0]
1107,[0]
1108,[0]
1109,[0]
1110,[0]
1111,[0]
1112,[0]
1113,[0]
1114,[0]
1115,[0]
1116,[0]
1117,[0]
1118,[0]
2212,[0]
2213,[0]
2214,[0]
2215,[0]
2216,[0]
2217,[0]
2218,[0]
2219,[0]
2220,[0]
2221,[0]
2222,[0]
2223,[0]
2224,[0]
2225,[0]
2226,[0]
2227,[0]
2228,[0]
2229,[0]
2230,[0]
2231,[0]
2232,[0]
2233,[0]
2234,[0]
2235,[0]
2236,[0]
2237,[0]
3331,[0]
3332,[0]
3333,[0]
3334,[0]
3335,[0]
3336,[0]
3337,[0]
3338,[0]
3339,[0]
3340,[0]
3341,[0]
3342,[0]
3343,[0]
3344,[0]
3345,[0]
3346,[0]
3347,[0]
3348,[0]
3349,[0]
3350,[0]
3351,[0]
3352,[0]
3353,[0]
3354,[0]
3355,[0]
3356,[0]
4449,[0]
4450,[0]
4451,[0]
4452,[0]
4453,[0]
4454,[0]
4455,[0]
4456,[0]
4457,[0]
4458,[0]
4459,[0]
4460,[0]
4461,[0]
4462,[0]
4463,[0]
4464,[0]
4465,[0]
4466,[0]
4467,[0]
4468,[0]
4469,[0]
4470,[0]
4471,[0]
4472,[0]
4473,[0]
4474,[0]
5567,[0]
5568,[0]
5569,[0]
5570,[0]
5571,[0]
5572,[0]
5573,[0]
5574,[0]
5575,[0]
5576,[0]
5577,[0]
5578,[0]
5579,[0]
5580,[0]
5581,[0]
5582,[0]
5583,[0]
5584,[0]
5585,[0]
5586,[0]
5587,[0]
5588,[0]
5589,[0]
5590,[0]
5591,[0]
5592,[0]
6685,[0]
6686,[0]
6687,[0]
6688,[0]
6689,[0]
6690,[0]
6691,[0]
6692,[0]
6693,[0]
6694,[0]
6695,[0]
6696,[0]
6697,[0]
6698,[0]
6699,[0]
6700,[0]
6701,[0]
6702,[0]
6703,[0]
6704,[0]
6705,[0]
6706,[0]
6707,[0]
6708,[0]
6709,[0]
6710,[0]
7803,[0]
7804,[0]
7805,[0]
7806,[0]
7807,[0]
7808,[0]
7809,[0]
7810,[0]
7811,[0]
7812,[0]
7813,[0]
7814,[0]
7815,[0]
7816,[0]
7817,[0]
7818,[0]
7819,[0]
7820,[0]
7821,[0]
7822,[0]
7823,[0]
7824,[0]
7825,[0]
7826,[0]
7827,[0]
7828,[0]
8921,[0]
8922,[0]
8923,[0]
8924,[0]
8925,[0]
8926,[0]
8927,[0]
8928,[0]
8929,[0]
8930,[0]
8931,[0]
8932,[0]
8933,[0]
8934,[0]
8935,[0]
8936,[0]
8937,[0]
8938,[0]
8939,[0]
8940,[0]
8941,[0]
8942,[0]
8943,[0]
8944,[0]
8945,[0]
8946,[0]
10039,[0]
10040,[0]
10041,[0]
10042,[0]
10043,[0]
10044,[0]
10045,[0]
10046,[0]
10047,[0]
10048,[0]
10049,[0]
10050,[0]
10051,[0]
10052,[0]
10053,[0]
10054,[0]
10055,[0]
10056,[0]
10057,[0]
10058,[0]
10059,[0]
10060,[0]
10061,[0]
10062,[0]
10063,[0]
10064,[0]
11157,[0]
11158,[0]
11159,[0]
11160,[0]
11161,[0]
11162,[0]
11163,[0]
11164,[0]
11165,[0]
11166,[0]
11167,[0]
11168,[0]
11169,[0]
11170,[0]
11171,[0]
11172,[0]
11173,[0]
11174,[0]
11175,[0]
11176,[0]
11177,[0]
11178,[0]
11179,[0]
11180,[0]
11181,[0]
11182,[0]
