ano_idx,exp_subspace
1093,[5]
1094,"[1, 5]"
1095,"[3, 4, 5]"
1096,"[3, 4]"
1097,"[3, 4]"
1098,"[3, 4]"
1099,[5]
1100,"[0, 1, 2, 4]"
1101,[5]
1102,"[0, 1, 2, 3, 4, 5]"
1103,[5]
1104,"[1, 3, 5]"
1105,[5]
1106,"[3, 4]"
1107,[5]
1108,[5]
1109,[5]
1110,"[1, 5]"
1111,"[3, 4]"
1112,"[3, 4]"
1113,"[1, 3, 5]"
1114,"[3, 4, 5]"
1115,"[3, 4]"
1116,[5]
1117,[5]
1118,[5]
2212,[5]
2213,"[3, 4]"
2214,[5]
2215,[5]
2216,[5]
2217,[5]
2218,[5]
2219,[3]
2220,"[3, 4]"
2221,"[3, 4, 5]"
2222,"[1, 3, 5]"
2223,[5]
2224,"[1, 2, 3, 4, 5]"
2225,"[1, 3, 5]"
2226,[5]
2227,"[0, 1, 2, 3, 4]"
2228,"[0, 3, 4, 5]"
2229,"[1, 3, 5]"
2230,[5]
2231,"[3, 4]"
2232,[5]
2233,"[3, 4]"
2234,[5]
2235,[5]
2236,[5]
2237,"[1, 3, 5]"
3331,"[1, 5]"
3332,"[3, 4]"
3333,"[3, 4]"
3334,"[0, 1, 2, 3, 4]"
3335,[3]
3336,"[1, 5]"
3337,"[3, 4]"
3338,"[1, 5]"
3339,[5]
3340,[5]
3341,"[3, 4]"
3342,"[3, 4]"
3343,[5]
3344,[5]
3345,"[3, 4]"
3346,"[1, 3, 5]"
3347,[5]
3348,"[3, 4]"
3349,"[3, 5]"
3350,[5]
3351,"[3, 4]"
3352,"[1, 3, 5]"
3353,[5]
3354,"[1, 2, 3, 4, 5]"
3355,[5]
3356,"[1, 3, 5]"
4449,"[1, 5]"
4450,"[3, 4]"
4451,[5]
4452,"[3, 4]"
4453,[5]
4454,"[1, 5]"
4455,"[3, 4]"
4456,"[3, 4]"
4457,[5]
4458,[5]
4459,[5]
4460,"[0, 1, 2, 3, 4]"
4461,[5]
4462,[5]
4463,[5]
4464,"[3, 4]"
4465,[5]
4466,"[1, 3, 5]"
4467,"[3, 4, 5]"
4468,"[3, 4]"
4469,"[3, 4]"
4470,"[1, 3, 5]"
4471,"[3, 4]"
4472,"[1, 3, 5]"
4473,[5]
4474,"[3, 4, 5]"
5567,[5]
5568,[5]
5569,"[0, 1, 2]"
5570,"[1, 3, 5]"
5571,[5]
5572,"[3, 4, 5]"
5573,"[1, 3, 5]"
5574,"[3, 4]"
