ano_idx,exp_subspace
1093,"[2, 3, 5]"
1094,"[0, 1, 3, 5]"
1095,"[1, 4, 5]"
1096,"[1, 2, 4, 5]"
1097,"[1, 2, 4, 5]"
1098,"[1, 2, 4, 5]"
1099,"[2, 4, 5]"
1100,"[0, 2]"
1101,"[2, 4, 5]"
1102,"[0, 1, 2, 3]"
1103,"[1, 3, 5]"
1104,"[0, 1, 2, 3, 5]"
1105,"[1, 2, 3, 4, 5]"
1106,"[2, 4]"
1107,"[4, 5]"
1108,"[4, 5]"
1109,"[4, 5]"
1110,"[0, 2, 3, 5]"
1111,"[1, 2, 4, 5]"
1112,"[2, 4, 5]"
1113,"[4, 5]"
1114,"[2, 4, 5]"
1115,"[2, 4, 5]"
1116,"[0, 1, 4, 5]"
1117,"[1, 2, 4, 5]"
1118,"[0, 4]"
2212,"[2, 4, 5]"
2213,"[1, 2, 4, 5]"
2214,"[1, 2, 4, 5]"
2215,"[2, 4, 5]"
2216,"[1, 2, 4, 5]"
2217,"[1, 2, 4, 5]"
2218,"[2, 4, 5]"
2219,"[3, 5]"
2220,"[1, 2, 4]"
2221,"[4, 5]"
2222,"[0, 1, 3, 5]"
2223,"[1, 2, 4, 5]"
2224,"[3, 5]"
2225,"[1, 3, 5]"
2226,"[3, 5]"
2227,"[1, 2, 4, 5]"
2228,"[1, 2, 4, 5]"
2229,"[1, 2, 3]"
2230,"[1, 2, 3]"
2231,"[1, 2, 4]"
2232,"[0, 1, 2, 5]"
2233,"[4, 5]"
2234,"[4, 5]"
2235,"[1, 2, 4, 5]"
2236,"[2, 4]"
2237,"[0, 2, 3, 5]"
3331,"[0, 1, 2]"
3332,"[4, 5]"
3333,"[1, 2, 4, 5]"
3334,"[0, 2, 3, 4, 5]"
3335,"[3, 4]"
3336,"[0, 1, 2, 5]"
3337,"[1, 2, 4, 5]"
3338,"[0, 1, 2, 5]"
3339,"[0, 1, 2, 3, 5]"
3340,"[1, 2, 4, 5]"
3341,"[4, 5]"
3342,"[1, 2, 4, 5]"
3343,"[2, 4, 5]"
3344,"[4, 5]"
3345,"[4, 5]"
3346,"[0, 2, 3, 4, 5]"
3347,"[1, 2, 4, 5]"
3348,"[4, 5]"
3349,"[1, 2, 3, 5]"
3350,"[2, 4, 5]"
3351,"[2, 4]"
3352,"[3, 5]"
3353,"[0, 1, 2, 3, 5]"
3354,"[3, 5]"
3355,"[4, 5]"
3356,"[0, 5]"
4449,"[0, 1, 2, 5]"
4450,"[0, 1, 2, 3, 5]"
4451,"[4, 5]"
4452,"[1, 4]"
4453,"[1, 2, 4, 5]"
4454,"[1, 2, 4]"
4455,"[0, 1, 2, 3, 5]"
4456,"[3, 5]"
4457,"[0, 2, 3, 5]"
4458,"[4, 5]"
4459,"[1, 2, 4, 5]"
4460,"[1, 2, 4, 5]"
4461,"[1, 2, 4, 5]"
4462,"[3, 5]"
4463,"[1, 2, 4, 5]"
4464,"[4, 5]"
4465,"[0, 1, 3, 5]"
4466,"[0, 1, 2, 3, 4, 5]"
4467,"[1, 2, 3, 5]"
4468,"[1, 2, 4, 5]"
4469,"[1, 2, 4, 5]"
4470,"[0, 2, 4]"
4471,"[2, 4]"
4472,"[0, 2, 3, 5]"
4473,"[2, 4, 5]"
4474,"[4, 5]"
5567,"[1, 2, 4, 5]"
5568,"[0, 1, 3, 5]"
5569,"[0, 1, 2, 5]"
5570,"[0, 2, 3]"
5571,"[1, 2, 3, 5]"
5572,"[2, 4]"
5573,"[1, 2, 3, 5]"
5574,"[1, 2, 4, 5]"
5575,"[0, 1, 2]"
5576,"[2, 4, 5]"
5577,"[1, 2, 4, 5]"
5578,"[1, 2, 4]"
5579,"[2, 4]"
5580,"[4, 5]"
5581,"[0, 1, 2, 5]"
5582,"[2, 4, 5]"
5583,"[3, 5]"
5584,"[1, 2, 4, 5]"
5585,"[2, 4, 5]"
5586,"[1, 2, 4, 5]"
5587,"[4, 5]"
5588,"[0, 1, 2, 3, 5]"
5589,"[1, 2, 4, 5]"
5590,"[0, 1, 2]"
5591,"[4, 5]"
5592,"[3, 5]"
6685,"[1, 2, 5]"
6686,"[0, 2, 3, 5]"
6687,"[4, 5]"
6688,"[4, 5]"
6689,"[1, 4]"
6690,"[1, 2, 3, 5]"
6691,"[0, 1, 3, 5]"
6692,"[1, 2, 4, 5]"
6693,"[2, 4, 5]"
6694,"[1, 2, 4, 5]"
6695,"[0, 2, 3, 5]"
6696,"[1, 2, 4, 5]"
6697,"[0, 1, 3, 5]"
6698,"[0, 1]"
6699,"[4, 5]"
6700,"[1, 2, 4, 5]"
6701,"[2, 4, 5]"
6702,"[4, 5]"
6703,"[3, 5]"
6704,"[4, 5]"
6705,"[1, 3, 5]"
